class,filename,height,width,x,y
12,316.jpg,2400.0,1935.0,1504.0,1782.0
13,316.jpg,2400.0,1935.0,1645.0,1667.0
14,316.jpg,2400.0,1935.0,1584.0,1921.0
15,316.jpg,2400.0,1935.0,1602.0,1559.0
16,316.jpg,2400.0,1935.0,1505.0,2060.0
17,316.jpg,2400.0,1935.0,1030.0,1463.0
18,316.jpg,2400.0,1935.0,1493.0,1500.0
19,316.jpg,2400.0,1935.0,658.0,1339.0
1,317.jpg,2400.0,1935.0,835.0,1072.0
2,317.jpg,2400.0,1935.0,1401.0,952.0
3,317.jpg,2400.0,1935.0,1292.0,1167.0
4,317.jpg,2400.0,1935.0,615.0,1251.0
5,317.jpg,2400.0,1935.0,1403.0,1470.0
6,317.jpg,2400.0,1935.0,1355.0,1811.0
7,317.jpg,2400.0,1935.0,1370.0,1893.0
8,317.jpg,2400.0,1935.0,1322.0,1961.0
9,317.jpg,2400.0,1935.0,1355.0,1935.0
10,317.jpg,2400.0,1935.0,769.0,1704.0
11,317.jpg,2400.0,1935.0,1406.0,1603.0
12,317.jpg,2400.0,1935.0,1475.0,1642.0
13,317.jpg,2400.0,1935.0,1542.0,1504.0
14,317.jpg,2400.0,1935.0,1503.0,1726.0
15,317.jpg,2400.0,1935.0,1492.0,1422.0
16,317.jpg,2400.0,1935.0,1463.0,1880.0
17,317.jpg,2400.0,1935.0,1010.0,1417.0
18,317.jpg,2400.0,1935.0,1450.0,1401.0
19,317.jpg,2400.0,1935.0,698.0,1343.0
1,318.jpg,2400.0,1935.0,787.0,1016.0
2,318.jpg,2400.0,1935.0,1389.0,1062.0
3,318.jpg,2400.0,1935.0,1264.0,1254.0
4,318.jpg,2400.0,1935.0,541.0,1134.0
5,318.jpg,2400.0,1935.0,1324.0,1558.0
6,318.jpg,2400.0,1935.0,1136.0,1893.0
7,318.jpg,2400.0,1935.0,1106.0,1964.0
8,318.jpg,2400.0,1935.0,1044.0,2003.0
9,318.jpg,2400.0,1935.0,1074.0,1990.0
10,318.jpg,2400.0,1935.0,658.0,1586.0
11,318.jpg,2400.0,1935.0,1318.0,1722.0
12,318.jpg,2400.0,1935.0,1401.0,1744.0
13,318.jpg,2400.0,1935.0,1503.0,1604.0
14,318.jpg,2400.0,1935.0,1411.0,1853.0
15,318.jpg,2400.0,1935.0,1431.0,1522.0
16,318.jpg,2400.0,1935.0,1307.0,1923.0
17,318.jpg,2400.0,1935.0,941.0,1396.0
18,318.jpg,2400.0,1935.0,1362.0,1490.0
19,318.jpg,2400.0,1935.0,652.0,1256.0
1,319.jpg,2400.0,1935.0,803.0,1034.0
2,319.jpg,2400.0,1935.0,1380.0,993.0
3,319.jpg,2400.0,1935.0,1263.0,1237.0
4,319.jpg,2400.0,1935.0,602.0,1244.0
5,319.jpg,2400.0,1935.0,1348.0,1528.0
6,319.jpg,2400.0,1935.0,1261.0,1885.0
7,319.jpg,2400.0,1935.0,1246.0,2008.0
8,319.jpg,2400.0,1935.0,1193.0,2056.0
9,319.jpg,2400.0,1935.0,1226.0,2041.0
10,319.jpg,2400.0,1935.0,728.0,1787.0
11,319.jpg,2400.0,1935.0,1351.0,1722.0
12,319.jpg,2400.0,1935.0,1418.0,1704.0
13,319.jpg,2400.0,1935.0,1484.0,1596.0
14,319.jpg,2400.0,1935.0,1417.0,1841.0
15,319.jpg,2400.0,1935.0,1431.0,1489.0
16,319.jpg,2400.0,1935.0,1367.0,1977.0
17,319.jpg,2400.0,1935.0,955.0,1434.0
18,319.jpg,2400.0,1935.0,1349.0,1466.0
19,319.jpg,2400.0,1935.0,664.0,1308.0
1,320.jpg,2400.0,1935.0,786.0,1068.0
2,320.jpg,2400.0,1935.0,1364.0,903.0
3,320.jpg,2400.0,1935.0,1295.0,1110.0
4,320.jpg,2400.0,1935.0,590.0,1261.0
5,320.jpg,2400.0,1935.0,1442.0,1411.0
6,320.jpg,2400.0,1935.0,1379.0,1812.0
7,320.jpg,2400.0,1935.0,1387.0,1884.0
8,320.jpg,2400.0,1935.0,1326.0,1955.0
9,320.jpg,2400.0,1935.0,1366.0,1930.0
10,320.jpg,2400.0,1935.0,764.0,1701.0
11,320.jpg,2400.0,1935.0,1501.0,1608.0
12,320.jpg,2400.0,1935.0,1527.0,1629.0
13,320.jpg,2400.0,1935.0,1639.0,1520.0
14,320.jpg,2400.0,1935.0,1579.0,1768.0
15,320.jpg,2400.0,1935.0,1565.0,1398.0
16,320.jpg,2400.0,1935.0,1490.0,1865.0
17,320.jpg,2400.0,1935.0,1011.0,1384.0
18,320.jpg,2400.0,1935.0,1465.0,1356.0
19,320.jpg,2400.0,1935.0,691.0,1347.0
1,321.jpg,2400.0,1935.0,802.0,1037.0
2,321.jpg,2400.0,1935.0,1433.0,1037.0
3,321.jpg,2400.0,1935.0,1315.0,1234.0
4,321.jpg,2400.0,1935.0,542.0,1207.0
5,321.jpg,2400.0,1935.0,1342.0,1555.0
6,321.jpg,2400.0,1935.0,1296.0,2017.0
7,321.jpg,2400.0,1935.0,1276.0,2131.0
8,321.jpg,2400.0,1935.0,1219.0,2193.0
9,321.jpg,2400.0,1935.0,1254.0,2170.0
10,321.jpg,2400.0,1935.0,695.0,1778.0
11,321.jpg,2400.0,1935.0,1379.0,1798.0
12,321.jpg,2400.0,1935.0,1409.0,1808.0
13,321.jpg,2400.0,1935.0,1519.0,1679.0
14,321.jpg,2400.0,1935.0,1474.0,1933.0
15,321.jpg,2400.0,1935.0,1495.0,1568.0
16,321.jpg,2400.0,1935.0,1395.0,2077.0
17,321.jpg,2400.0,1935.0,928.0,1469.0
18,321.jpg,2400.0,1935.0,1359.0,1519.0
19,321.jpg,2400.0,1935.0,661.0,1340.0
1,322.jpg,2400.0,1935.0,865.0,1082.0
2,322.jpg,2400.0,1935.0,1469.0,993.0
3,322.jpg,2400.0,1935.0,1393.0,1218.0
4,322.jpg,2400.0,1935.0,625.0,1246.0
5,322.jpg,2400.0,1935.0,1452.0,1538.0
6,322.jpg,2400.0,1935.0,1406.0,1925.0
7,322.jpg,2400.0,1935.0,1408.0,1999.0
8,322.jpg,2400.0,1935.0,1335.0,2057.0
9,322.jpg,2400.0,1935.0,1381.0,2039.0
10,322.jpg,2400.0,1935.0,769.0,1769.0
11,322.jpg,2400.0,1935.0,1485.0,1715.0
12,322.jpg,2400.0,1935.0,1546.0,1767.0
13,322.jpg,2400.0,1935.0,1622.0,1633.0
14,322.jpg,2400.0,1935.0,1555.0,1864.0
15,322.jpg,2400.0,1935.0,1573.0,1523.0
16,322.jpg,2400.0,1935.0,1499.0,1966.0
17,322.jpg,2400.0,1935.0,1046.0,1484.0
18,322.jpg,2400.0,1935.0,1476.0,1476.0
19,322.jpg,2400.0,1935.0,710.0,1384.0
1,323.jpg,2400.0,1935.0,808.0,1028.0
2,323.jpg,2400.0,1935.0,1393.0,981.0
3,323.jpg,2400.0,1935.0,1347.0,1202.0
4,323.jpg,2400.0,1935.0,633.0,1205.0
5,323.jpg,2400.0,1935.0,1435.0,1477.0
6,323.jpg,2400.0,1935.0,1453.0,1890.0
7,323.jpg,2400.0,1935.0,1478.0,2025.0
8,323.jpg,2400.0,1935.0,1420.0,2081.0
9,323.jpg,2400.0,1935.0,1461.0,2061.0
10,323.jpg,2400.0,1935.0,750.0,1829.0
11,323.jpg,2400.0,1935.0,1502.0,1706.0
12,323.jpg,2400.0,1935.0,1512.0,1707.0
13,323.jpg,2400.0,1935.0,1633.0,1563.0
14,323.jpg,2400.0,1935.0,1617.0,1810.0
15,323.jpg,2400.0,1935.0,1525.0,1488.0
16,323.jpg,2400.0,1935.0,1566.0,1981.0
17,323.jpg,2400.0,1935.0,994.0,1446.0
18,323.jpg,2400.0,1935.0,1466.0,1418.0
19,323.jpg,2400.0,1935.0,688.0,1330.0
1,324.jpg,2400.0,1935.0,796.0,1058.0
2,324.jpg,2400.0,1935.0,1372.0,862.0
3,324.jpg,2400.0,1935.0,1311.0,1132.0
4,324.jpg,2400.0,1935.0,610.0,1264.0
5,324.jpg,2400.0,1935.0,1442.0,1415.0
6,324.jpg,2400.0,1935.0,1413.0,1749.0
7,324.jpg,2400.0,1935.0,1435.0,1843.0
8,324.jpg,2400.0,1935.0,1371.0,1904.0
9,324.jpg,2400.0,1935.0,1417.0,1879.0
10,324.jpg,2400.0,1935.0,842.0,1730.0
11,324.jpg,2400.0,1935.0,1472.0,1565.0
12,324.jpg,2400.0,1935.0,1522.0,1608.0
13,324.jpg,2400.0,1935.0,1623.0,1461.0
14,324.jpg,2400.0,1935.0,1576.0,1716.0
15,324.jpg,2400.0,1935.0,1519.0,1382.0
16,324.jpg,2400.0,1935.0,1525.0,1859.0
17,324.jpg,2400.0,1935.0,1040.0,1377.0
18,324.jpg,2400.0,1935.0,1463.0,1360.0
19,324.jpg,2400.0,1935.0,717.0,1358.0
1,325.jpg,2400.0,1935.0,765.0,951.0
2,325.jpg,2400.0,1935.0,1340.0,876.0
3,325.jpg,2400.0,1935.0,1261.0,1091.0
4,325.jpg,2400.0,1935.0,553.0,1158.0
5,325.jpg,2400.0,1935.0,1404.0,1426.0
6,325.jpg,2400.0,1935.0,1336.0,1841.0
7,325.jpg,2400.0,1935.0,1326.0,1947.0
8,325.jpg,2400.0,1935.0,1257.0,2002.0
9,325.jpg,2400.0,1935.0,1298.0,1988.0
10,325.jpg,2400.0,1935.0,693.0,1675.0
11,325.jpg,2400.0,1935.0,1438.0,1624.0
12,325.jpg,2400.0,1935.0,1457.0,1638.0
13,325.jpg,2400.0,1935.0,1569.0,1507.0
14,325.jpg,2400.0,1935.0,1530.0,1737.0
15,325.jpg,2400.0,1935.0,1530.0,1364.0
16,325.jpg,2400.0,1935.0,1465.0,1876.0
17,325.jpg,2400.0,1935.0,963.0,1349.0
18,325.jpg,2400.0,1935.0,1439.0,1337.0
19,325.jpg,2400.0,1935.0,649.0,1279.0
1,326.jpg,2400.0,1935.0,834.0,1039.0
2,326.jpg,2400.0,1935.0,1414.0,969.0
3,326.jpg,2400.0,1935.0,1306.0,1231.0
4,326.jpg,2400.0,1935.0,548.0,1215.0
5,326.jpg,2400.0,1935.0,1406.0,1548.0
6,326.jpg,2400.0,1935.0,1439.0,1887.0
7,326.jpg,2400.0,1935.0,1458.0,1984.0
8,326.jpg,2400.0,1935.0,1382.0,2065.0
9,326.jpg,2400.0,1935.0,1426.0,2037.0
10,326.jpg,2400.0,1935.0,801.0,1771.0
11,326.jpg,2400.0,1935.0,1481.0,1704.0
12,326.jpg,2400.0,1935.0,1449.0,1726.0
13,326.jpg,2400.0,1935.0,1569.0,1643.0
14,326.jpg,2400.0,1935.0,1600.0,1792.0
15,326.jpg,2400.0,1935.0,1514.0,1548.0
16,326.jpg,2400.0,1935.0,1550.0,1972.0
17,326.jpg,2400.0,1935.0,978.0,1461.0
18,326.jpg,2400.0,1935.0,1423.0,1489.0
19,326.jpg,2400.0,1935.0,648.0,1340.0
1,327.jpg,2400.0,1935.0,851.0,1105.0
2,327.jpg,2400.0,1935.0,1452.0,1032.0
3,327.jpg,2400.0,1935.0,1323.0,1257.0
4,327.jpg,2400.0,1935.0,615.0,1260.0
5,327.jpg,2400.0,1935.0,1424.0,1543.0
6,327.jpg,2400.0,1935.0,1453.0,1928.0
7,327.jpg,2400.0,1935.0,1462.0,2043.0
8,327.jpg,2400.0,1935.0,1404.0,2111.0
9,327.jpg,2400.0,1935.0,1443.0,2089.0
10,327.jpg,2400.0,1935.0,741.0,1814.0
